pubmed,journal,year,se,z_score
20551160,British journal of sports medicine,2011,0.4454839528447188,2.0747299551898752
20551160,British journal of sports medicine,2011,0.3970659508009901,2.584058375601003
20551159,British journal of sports medicine,2010,0.17403523214993752,-2.4752626854390005
20551159,British journal of sports medicine,2010,0.24729606050716926,-2.4916941182164662
20231601,British journal of sports medicine,2010,0.23543148364936406,3.71857121139229
20231601,British journal of sports medicine,2010,0.2626580145870302,2.8247276059552364
20231601,British journal of sports medicine,2010,0.2507337593452681,2.764474885112939
22171337,British journal of sports medicine,2012,0.21033741288118102,3.435936445646711
22144000,British journal of sports medicine,2012,0.06268740828634384,31.557199288483325
22117020,British journal of sports medicine,2011,0.2952685685436334,2.1737968566659154
22117020,British journal of sports medicine,2011,0.3796114937321003,2.8047378822091638
22117020,British journal of sports medicine,2011,0.43948127493395495,0.21686971718794643
22117020,British journal of sports medicine,2011,0.26940119241053917,1.2489634274092762
22117020,British journal of sports medicine,2011,0.34554736296053834,1.1733995150021408
22117020,British journal of sports medicine,2011,0.42057617999678104,0.22661811186038736
21791459,British journal of sports medicine,2012,0.9222658276091811,2.914395625773626
21791459,British journal of sports medicine,2012,0.10343497655820522,-2.653230607611038
23243009,British journal of sports medicine,2015,0.10422845166391756,2.5907238657229317
23243009,British journal of sports medicine,2015,0.1320811378932744,2.916861612003591
23148325,British journal of sports medicine,2012,0.21220167553415709,2.87351911848002
22976910,British journal of sports medicine,2014,0.8225953688731731,2.365573917247924
22976910,British journal of sports medicine,2014,0.40588999330762854,2.1569113597002927
22976910,British journal of sports medicine,2014,0.7867410409948136,2.2984548624700336
22968156,British journal of sports medicine,2012,0.299163331842304,2.7841283816632645
22966153,British journal of sports medicine,2012,0.3121876101076826,4.909089337560576
22966153,British journal of sports medicine,2012,1.0560348117385732,4.102183201456867
22966153,British journal of sports medicine,2012,0.29662607981770295,3.6698120188339614
22904295,British journal of sports medicine,2013,0.11568222635064412,-2.3723337141689806
22904295,British journal of sports medicine,2013,0.09822863175432582,-2.2716752471143207
22904295,British journal of sports medicine,2013,0.16317818765534672,-2.5463908499785997
22842238,British journal of sports medicine,2012,0.06030325971026283,-2.8912763254007827
22685123,British journal of sports medicine,2012,0.004953593330893265,5.967143499083763
24276781,British journal of sports medicine,2014,0.15922303802882498,6.167942055184046
24273307,British journal of sports medicine,2014,0.2526527306193564,3.048089841769055
24273307,British journal of sports medicine,2014,0.2526527306193564,3.066371638466726
24184587,British journal of sports medicine,2014,0.3552359466506446,6.375715203274248
24184587,British journal of sports medicine,2014,0.23224260452728743,6.270540824772824
24184587,British journal of sports medicine,2014,0.33202886037367346,2.508544353637595
24184587,British journal of sports medicine,2014,0.22928982177318652,3.00115649885717
24167194,British journal of sports medicine,2014,0.12761314143761576,-2.466131162467683
24096895,British journal of sports medicine,2014,0.10668472803203931,-4.1832332599131865
24096895,British journal of sports medicine,2014,0.26743634027735236,-2.101879339100214
24043665,British journal of sports medicine,2014,0.24340841987999107,-0.34255844140544145
24043665,British journal of sports medicine,2014,0.04390433050797782,2.7029572788027103
24043665,British journal of sports medicine,2014,0.26251740439148114,2.0989366959347517
24043665,British journal of sports medicine,2014,0.15021797720993602,2.220846070067533
24043665,British journal of sports medicine,2014,0.3134350553357927,-2.752563729739274
24043665,British journal of sports medicine,2014,0.11455714085777567,-3.088606020602425
24037671,British journal of sports medicine,2014,0.23641888564832922,-0.3989134760220785
24026299,British journal of sports medicine,2014,0.0912495691084363,0.5451213894029796
24026299,British journal of sports medicine,2014,0.050402237332194566,2.5473713383430994
24002240,British journal of sports medicine,2014,0.044627920789880635,-6.747011455039534
24002240,British journal of sports medicine,2014,0.047296740645755786,3.4994893140152548
24002240,British journal of sports medicine,2014,0.06411082354104748,4.681028504620499
24002240,British journal of sports medicine,2014,0.07987035407580338,5.806084392614804
23962878,British journal of sports medicine,2013,1.1333294021658968,-1.8708272565311304
23962878,British journal of sports medicine,2013,0.5363076111003632,-0.4873411428902813
23922282,British journal of sports medicine,2015,0.16797490371736104,-2.9231926055812427
23922282,British journal of sports medicine,2015,0.2177269976110012,-4.808632218347233
23881892,British journal of sports medicine,2013,0.03932415301715771,3.992552585713966
23851296,British journal of sports medicine,2013,0.04222307104019728,2.041009668837432
23851296,British journal of sports medicine,2013,0.06947645623767203,3.9960549462760317
23833045,British journal of sports medicine,2014,0.3385728175382357,0.4888592051808219
23833045,British journal of sports medicine,2014,0.3272744914964427,0.20673364478988204
23770663,British journal of sports medicine,2015,0.40375261824701164,3.4397083227552714
23770663,British journal of sports medicine,2015,0.438176402314881,3.146600518455794
23770663,British journal of sports medicine,2015,0.384966815913111,2.2304821702640547
23770663,British journal of sports medicine,2015,0.6623909555847063,3.338761913883142
23770663,British journal of sports medicine,2015,0.6797359921332836,2.467276384239291
23770663,British journal of sports medicine,2015,0.44275448155047065,3.251994475596946
23770660,British journal of sports medicine,2013,0.15250943896827052,2.2062387672360115
23770660,British journal of sports medicine,2013,0.07338828378871959,11.929271160970615
23673520,British journal of sports medicine,2014,0.08583475424010532,2.5061105087481814
23673520,British journal of sports medicine,2014,0.09247022590165287,2.23871162166833
